Category,Rank,Review ID,File,Source Path,Width,Height,Bytes,Selection Note
"01 - Food & Beverage","1","21","01 - 0021 - Post 1.jpg","D:\Recovery\Work\Marklix\Broasted\Post 1.jpg","1792","2400","1030727","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","2","29","02 - 0029 - G.jpg","D:\Recovery\Work\Marklix\Pizza\Campain\G.jpg","2048","2048","1502862","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","3","30","03 - 0030 - Italiy.jpg","D:\Recovery\Work\Marklix\Pizza\Campain\Italiy.jpg","2048","2048","982811","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","4","33","04 - 0033 - Pyramids.jpg","D:\Recovery\Work\Marklix\Pizza\Campain\Pyramids.jpg","2048","2048","834583","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","5","36","05 - 0036 - 1st.jpg","D:\Recovery\Work\Marklix\Pizza\Pasta\1st.jpg","1792","2400","492604","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","6","38","06 - 0038 - 3rd.jpg","D:\Recovery\Work\Marklix\Pizza\Pasta\3rd.jpg","1792","2400","552330","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","7","39","07 - 0039 - 4th.jpg","D:\Recovery\Work\Marklix\Pizza\Pasta\4th.jpg","1792","2400","650027","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","8","1315","08 - 1315 - المأكولات.jpg","D:\Recovery\Work\Privet\عالم الجمبري\2025\المأكولات.jpg","1024","1024","467301","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","9","1337","09 - 1337 - Post 3.jpg","D:\Recovery\Work\Privet\عالم الجمبري\2025\Posts\Post 3.jpg","2000","2000","1225104","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","10","1423","10 - 1423 - 2.png","D:\Recovery\Work\Privet\نهر النيل\ديريكشن جديد\2.png","1197","1314","3027019","Strong composition, appetizing art direction, and campaign-ready presentation."
"01 - Food & Beverage","11","1454","11 - 1454 - لحد باب البيت.png","D:\Recovery\Work\Privet\نهر النيل\لحد باب البيت.png","1254","1254","1880383","Strong composition, appetizing art direction, and campaign-ready presentation."
